Index-Category,Organization,Person
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Linville, Henry R."
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","McCoy, William T."
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","McLean, Samuel G."
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Rood, Florence"
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Stecker, Freeland G."
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Tingle, S. S."
American Federation of Labor and Affiliated Bodies,"Teamsters, Chauffeurs, Stablemen and Helpers of America, International Brotherhood of","Hughes, Thomas L."
American Federation of Labor and Affiliated Bodies,"Teamsters, Chauffeurs, Stablemen and Helpers of America, International Brotherhood of","Lyons, Thomas J."
American Federation of Labor and Affiliated Bodies,"Teamsters, Chauffeurs, Stablemen and Helpers of America, International Brotherhood of","Tobin, Daniel J."
American Federation of Labor and Affiliated Bodies,"Technical Engineers, Architects and Draftsmen's Unions, International Federation of","Rosemund, C. L."
American Federation of Labor and Affiliated Bodies,"Telegraphers' Union of America, Commercial","Day, Albert L."
American Federation of Labor and Affiliated Bodies,"Telegraphers' Union of America, Commercial","Johnson, Roscoe H."
American Federation of Labor and Affiliated Bodies,"Telegraphers' Union of America, Commercial","Powers, Frank B."
American Federation of Labor and Affiliated Bodies,"Telegraphers' Union of America, Commercial","Schnur, Paul F."
American Federation of Labor and Affiliated Bodies,"Telegraphers' Union of America, Commercial","Strachan, Alex. F."
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United","Campos, John L."
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United","Conboy, Sara A."
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United","Fleming, Denis M."
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United",Geiges. Guatave
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United",Hall. Tobias
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United","McDonnell, Arthur"
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United",McMahon. Thos. F.
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United","Robertson, Jas. T."
American Federation of Labor and Affiliated Bodies,"Textile Workers of America, United",Starr. James
American Federation of Labor and Affiliated Bodies,"Theatrical Stage Employees of America, International Alliance of","Reck, Clevc A."
American Federation of Labor and Affiliated Bodies,"Theatrical Stage Employees of America, International Alliance of","Canavan, William F."
American Federation of Labor and Affiliated Bodies,"Theatrical Stage Employees of America, International Alliance of","Green, Richard J."
American Federation of Labor and Affiliated Bodies,"Theatrical Stage Employees of America, International Alliance of","Maloy, Thomas E."
American Federation of Labor and Affiliated Bodies,Tobacco Workers' International Union,"Brown, James"
American Federation of Labor and Affiliated Bodies,Tobacco Workers' International Union,"Evans, E. Lewis"
American Federation of Labor and Affiliated Bodies,Tobacco Workers' International Union,"Walden, W. R."
American Federation of Labor and Affiliated Bodies,Tunnel and Subway Constrnctors' International Union,"Collins, John J."
American Federation of Labor and Affiliated Bodies,Tunnel and Subway Constrnctors' International Union,Curtis. Thomas J.
American Federation of Labor and Affiliated Bodies,"Typographical Union, International",Ames. Walter E.
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Brown, Seth"
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Cassidy, Edward F."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Cohen, Joseph E."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International",Deacon. G. W.
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Enslen, William F."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Flynn, Thomas E."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Hayes, Max S."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Hays, John"
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Hewson, Austin"
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Kitchens, Edwin L."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Howard, Chas. P. "
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Lehnert, Henry M."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Lynch, James M."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Miller, Hugo"
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Redd, Raymond"
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Rhode, Charles"
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Rouse, Leon H."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Smith, Charles N."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International",Thornton. George E.
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Trotter, William R."
American Federation of Labor and Affiliated Bodies,"Typographical Union, International",Wanbaueh. L. B.
American Federation of Labor and Affiliated Bodies,"Typographical Union, International","Wiley, Alunzo"
American Federation of Labor and Affiliated Bodies,Upholsterers' International Union of North America,"Deamer, Pierce H."
American Federation of Labor and Affiliated Bodies,Upholsterers' International Union of North America,"Kohn, William"
American Federation of Labor and Affiliated Bodies,Upholsterers' International Union of North America,"Nolda, Henry"
American Federation of Labor and Affiliated Bodies,Upholsterers' International Union of North America,Banders. Frank
American Federation of Labor and Affiliated Bodies,Upholsterers' International Union of North America,"Shaw, William A."
American Federation of Labor and Affiliated Bodies,"Wall Paper Crafts of North America, United",Alexander. Charles A.
American Federation of Labor and Affiliated Bodies,"Wall Paper Crafts of North America, United","Gentzier, Edwin"
American Federation of Labor and Affiliated Bodies,"Wall Paper Crafts of North America, United","Heinl, Rudolph"
American Federation of Labor and Affiliated Bodies,"Wall Paper Crafts of North America, United","Robertson, Charles H."
American Federation of Labor and Affiliated Bodies,"Wall Paper Crafts of North America, United","Wills, Joseph J."
American Federation of Labor and Affiliated Bodies,"Wire Weavers' Protective Association, American","Bradley, Charles C."
American Federation of Labor and Affiliated Bodies,"Wire Weavers' Protective Association, American","Curley, John F."
American Federation of Labor and Affiliated Bodies,"Wood Carvers' Association of North America, International","Betsch, William,"
American Federation of Labor and Affiliated Bodies,"Wood Carvers' Association of North America, International","Detlef, Frank"
American Federation of Labor and Affiliated Bodies,"Wood Carvers' Association of North America, International","Schrempf, August"
American Federation of Labor and Affiliated Bodies,"Wood Carvers' Association of North America, International","Tessitore, Alphonse"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Bergen, Alice"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Boone, Gladys"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Christman, Elisabeth"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Dowd, Mollie"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Dreier, Mary E."
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Henry, Alice"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Hochstein, Irma"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Klueg, Grace B."
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Kreutzlan, D. V."
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Leslie, Mabel"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Lindsay, Matilda"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Nestor, Agnes"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Perry, Fannie H."
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Robins, Margaret D."
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Schneiderman, Rose"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Smith, Ethel M."
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Swartz, Maud"
American Federation of Labor and Affiliated Bodies,Women's Trade Union League,"Turner, Jennie W."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Atkins, John M."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Barringer, Cager P."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Bean, Charles H., Jr."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Birthright, Wm. C."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Blase, Oscar H."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Bowen, Lewis"
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Broening, Henry"
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Brooks, George P."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Coleman, Frank J."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Donlcht, Carl F. W."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Finley, Ira M."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,Franklin. H. LaF.
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Gordon, Ersie L."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Greer, Thomas J."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Hall, Emanuel G."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Handley, John J."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Hoage, Earl R."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Howe, William O."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Hudson, Ward"
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Jacobson, John"
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Lawson, George W."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Lewis, John C."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Lovett, Richard B."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Manning, Alex. A."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Manson, Edwin H."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Marquardt, Louis P."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Maurer, James H."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Mooty, William P."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,O'Hanlon. John M.
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Ohl, Henry, Jr."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Olander, Victor A."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Ornburn, Ira M."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Purdy, V. S."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Scannell, John J. J."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Scharrenberg, P."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Short, William M."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Slater, George H."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Stewart, James R."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Suitor, Fred W."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Wade, Frank"
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Walker, John H."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Winstanley, John E."
American Federation of Labor and Affiliated Bodies,State Federations of Labor,"Woodside, Howard C."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Alter, S. Herman"
American Federation of Labor and Affiliated Bodies,City Trades Councils,Anderson. D. A.
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Andler, Lucien M."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Cartwright, Victor I."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Cormak, John J."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Coughlin, John P."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Crispin, Andrew H."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Donovan, Daniel R."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Feinstone, Morris"
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Fitzpatrick, John"
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Franck, Charles H."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Ganiard, J. N."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Grabham, Charles H."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Haney, George R."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Hirschberg, Adolph"
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Horn, John S.f"
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Johnson, Theodore"
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Landsman, Hyman H."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Lowderback, Ray E."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Lyday, Arthur W."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Manee, James T."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Martel, Frank X."
American Federation of Labor and Affiliated Bodies,City Trades Councils,McLindon. William H.
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Moring, Albert E."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Mullen, Carl H."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Murphy, Parker F."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Nockels, Edward N."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Nuzum, Charles R."
American Federation of Labor and Affiliated Bodies,City Trades Councils,Osborn. Jay M.
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Radley, Martin E."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Reiss, George J."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Root, Ralph A."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Stump, John H."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Sulgrove, Leslie B."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Thomas, Henry"
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Treat, Miner S."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Valentine, Ed. C."
American Federation of Labor and Affiliated Bodies,City Trades Councils,"Winberg, Andrew"
Independent Unions,"Automobile, Aircraft, and Vehicle Workers, United","Brunton, Frank"
Independent Unions,"Automobile, Aircraft, and Vehicle Workers, United","Logan, William A."
Independent Unions,"Carpenters and Joiners, Amalgamated Society of","Porter, H."
Independent Unions,"Clothing Workers of America, Amalgamated","Arnone, Paul"
Independent Unions,"Clothing Workers of America, Amalgamated","Beckerman, A."
Independent Unions,"Clothing Workers of America, Amalgamated","Bellanca, August"
Independent Unions,"Clothing Workers of America, Amalgamated","Bellanca, Frank M."
Independent Unions,"Clothing Workers of America, Amalgamated","Slumberg, Hyman"
Independent Unions,"Clothing Workers of America, Amalgamated","Cursi, Aldo"
Independent Unions,"Clothing Workers of America, Amalgamated",Fisch. Maurice C.
Independent Unions,"Clothing Workers of America, Amalgamated","Genis, Sander D. "
Independent Unions,"Clothing Workers of America, Amalgamated",Gold. Joseph
Independent Unions,"Clothing Workers of America, Amalgamated","Hardman, J. B. S."
Independent Unions,"Clothing Workers of America, Amalgamated","Hillman, Sidney"
Independent Unions,"Clothing Workers of America, Amalgamated",Kasner. Pauline
Independent Unions,"Clothing Workers of America, Amalgamated","Kazan, Abraham E."
Independent Unions,"Clothing Workers of America, Amalgamated","Klein, Gertrude W."
Independent Unions,"Clothing Workers of America, Amalgamated","Krzycki, Leo,"
Independent Unions,"Clothing Workers of America, Amalgamated","Kucharska, S."
Independent Unions,"Clothing Workers of America, Amalgamated","Levin, Samuel, "
Independent Unions,"Clothing Workers of America, Amalgamated","Marcovitz, Lazarus"
Independent Unions,"Clothing Workers of America, Amalgamated","Marimpietri, Anzuino D."
Independent Unions,"Clothing Workers of America, Amalgamated",Miller. Abraham.
Independent Unions,"Clothing Workers of America, Amalgamated","Monat, Peter"
Independent Unions,"Clothing Workers of America, Amalgamated","O'Dwyer, Donaugh F."
Independent Unions,"Clothing Workers of America, Amalgamated","Peppercorn, Benjamin"
Independent Unions,"Clothing Workers of America, Amalgamated",Potofsky. Jacob S.
Independent Unions,"Clothing Workers of America, Amalgamated","Pruseika, Leo,"
Independent Unions,"Clothing Workers of America, Amalgamated","Rosenblum, Frank"
Independent Unions,"Clothing Workers of America, Amalgamated","Rudow, Samuel"
Independent Unions,"Clothing Workers of America, Amalgamated","Santera. Mamie,"
Independent Unions,"Clothing Workers of America, Amalgamated","Schlossberg, Joseph"
Independent Unions,"Clothing Workers of America, Amalgamated","Skala, Stephen, "
Independent Unions,"Clothing Workers of America, Amalgamated","Stewart, Bryce M."
Independent Unions,"Clothing Workers of America, Amalgamated","Weinstein, Murray"
Independent Unions,"Clothing Workers of America, Amalgamated","Weinzweig, Irving"
Independent Unions,"Clothing Workers of America, Amalgamated","Wolman, Leo"
Independent Unions,Dining Car Employees,"Carter, Oliver P."
Independent Unions,"Food Industries, International Workers In the Amalgamated (Amalgamated Food Workers)","Burkhardt, August"
Independent Unions,"Food Industries, International Workers In the Amalgamated (Amalgamated Food Workers)","Herp, Frank"
Independent Unions,"Food Industries, International Workers In the Amalgamated (Amalgamated Food Workers)","Kiehn, Charles"
Independent Unions,"Food Industries, International Workers In the Amalgamated (Amalgamated Food Workers)","Meyer, Fred"
Independent Unions,"Food Industries, International Workers In the Amalgamated (Amalgamated Food Workers)","Obermeier, Michael"
Independent Unions,Industrial Workers of the World,"Chaplin, Ralph H."
Independent Unions,Industrial Workers of the World,"Dowing, Mortimer"
Independent Unions,Industrial Workers of the World,"Ebert, Justus"
Independent Unions,Industrial Workers of the World,Haywood. Wm. D.
Independent Unions,Industrial Workers of the World,Smith. Vern R.
Independent Unions,Industrial Workers of the World,"Wagner, Joseph"
Independent Unions,Industrial Workers of the World,"Welinder, Pete J."
Independent Unions,Knights of Labor,"Canning, Thomas H."
Independent Unions,"Locomotive Engineers, Brotherhood of","Burgess, Fred. A."
Independent Unions,"Locomotive Engineers, Brotherhood of","Coyle, Albert F."
Independent Unions,"Locomotive Engineers, Brotherhood of","Daugherty, Harry P."
Independent Unions,"Locomotive Engineers, Brotherhood of","Griffing, Lewis G."
Independent Unions,"Locomotive Engineers, Brotherhood of","Kilp, Frederick J."
Independent Unions,"Locomotive Engineers, Brotherhood of","Lindquist, Charles E."
Independent Unions,"Locomotive Engineers, Brotherhood of","Morgan, Fred"
Independent Unions,"Locomotive Engineers, Brotherhood of",Prenter. William B.
Independent Unions,"Locomotive Engineers, Brotherhood of","Stone, Warren S."
Independent Unions,"Locomotive Engineers, Brotherhood of","Veich, John F."
Independent Unions,"Locomotive Engineers, Brotherhood of","Villa, Herman E."
Independent Unions,"Locomotive Firemen and Enginemen, Brotherhood of","Barr, Frederick"
Independent Unions,"Locomotive Firemen and Enginemen, Brotherhood of","Goff, Carl J."
Independent Unions,"Locomotive Firemen and Enginemen, Brotherhood of",Hawley. Albert H.
Independent Unions,"Locomotive Firemen and Enginemen, Brotherhood of","Hyatt, Gilbert E."
Independent Unions,"Locomotive Firemen and Enginemen, Brotherhood of","Lovell, Arthur J."
Independent Unions,"Locomotive Firemen and Enginemen, Brotherhood of","McBride, Jonas A."
Independent Unions,"Locomotive Firemen and Enginemen, Brotherhood of","McNamee, John F."
Independent Unions,"Locomotive Firemen and Enginemen, Brotherhood of","Robertson, David B."
Independent Unions,"Marine Engineers' Beneficial Association, National","Brown, William S."
Independent Unions,"Marine Engineers' Beneficial Association, National","Grubb, George A."
Independent Unions,"Marine Engineers' Beneficial Association, National","Sheplar, Charles M."
Independent Unions,"Metal Workers of America, Amalgamated","Larsen, Carl"
Independent Unions,"Pocketbook Workers' Union, International","Sanderson, Henry"
Independent Unions,"Pocketbook Workers' Union, International","Walinsky, Ossip"
Independent Unions,"Railroad Trainmen, Brotherhood of",Cease. Daniel L.
Independent Unions,"Railroad Trainmen, Brotherhood of","Harvey, Samuel R."
Independent Unions,"Railroad Trainmen, Brotherhood of","Kennedy, Wm. P."
Independent Unions,"Railroad Trainmen, Brotherhood of","King, A. E."
Independent Unions,"Railroad Trainmen, Brotherhood of","Knoff, Ralph A."
Independent Unions,"Railroad Trainmen, Brotherhood of","Lee, William G."
Independent Unions,"Railroad Trainmen, Brotherhood of","Mahoney, Charles J."
Independent Unions,"Railroad Trainmen, Brotherhood of","Taylor, William C."
Independent Unions,"Railroad Trainmen, Brotherhood of","Wells, James G."
Independent Unions,"Railroad Trainmen, Brotherhood of","Whitney, A. F."
Independent Unions,"Railroad Workers, American Federation of","Eckroth, George C."
Independent Unions,"Railroad Workers, American Federation of","Hoskins, Edward"
Independent Unions,Railroad Yardmasters of America,"Brown, William M."
Independent Unions,Railroad Yardmasters of America,"Eldridge, J. L."
Independent Unions,Railroad Yardmasters of America,"Kosher, Harry E."
Independent Unions,"Railway Conductors of America, Order of","Curtis, E. P."
Independent Unions,"Railway Conductors of America, Order of","Garretson, A. B."
Independent Unions,"Railway Conductors of America, Order of","Pease, Frank H."
Independent Unions,"Railway Conductors of America, Order of","Phillips, James"
Independent Unions,"Railway Conductors of America, Order of","Saul, William T."
Independent Unions,"Railway Conductors of America, Order of","Sheppard, L. E."
Independent Unions,"Shoe Workers' Protective Union, Amalgamated","Valenti, Girolamo"
Independent Unions,"Shoe Workers of America, United","Lynch, T. F."
Independent Unions,"Steam Shovel and Dredgemen, International Brotherhood of","Bickford, Charles W."
Independent Unions,"Steam Shovel and Dredgemen, International Brotherhood of","Dempster, George R."
Independent Unions,"Steam Shovel and Dredgemen, International Brotherhood of","Langdon, F. E."
Independent Unions,"Steam Shovel and Dredgemen, International Brotherhood of","McDevitt, William J."
Independent Unions,"Steam Shovel and Dredgemen, International Brotherhood of","Sims, J. E."
Independent Unions,"Steam Shovel and Dredgemen, International Brotherhood of","Sullivan, John A."
Independent Unions,"Steam Shovel and Dredgemen, International Brotherhood of","Welsh, W. M."
Independent Unions,"Textile Operatives, American Federation of","Batty, W. E. G."
Independent Unions,"Textile Operatives, American Federation of",Binns. Abraham
Independent Unions,"Textile Operatives, American Federation of","O'Connell, John P."
Independent Unions,"Textile Operatives, American Federation of","Tansey, James"
Independent Unions,Workers' International Industrial Union,"La France, Ernest"
Political Parties,Conference for Progressive Political Action,"Baer, John M."
Political Parties,Conference for Progressive Political Action,"Bigelow, Herbert S."
Political Parties,Conference for Progressive Political Action,"Brunson, H. L."
Political Parties,Conference for Progressive Political Action,"Christensen, Parley P."
Political Parties,Conference for Progressive Political Action,"Costigan, Mabel C."
Political Parties,Conference for Progressive Political Action,Dorman. DeWitt C.
Political Parties,Conference for Progressive Political Action,"Holder, Arthur E."
Political Parties,Conference for Progressive Political Action,"Howe, Fred W."
Political Parties,Conference for Progressive Political Action,"Johnston, Wm. H."
Political Parties,Conference for Progressive Political Action,"La Follette, R. M."
Political Parties,Conference for Progressive Political Action,"La Guardia, F. H."
Political Parties,Conference for Progressive Political Action,"Nickerson, H. F."
Political Parties,Conference for Progressive Political Action,"Stone, Warren S."
Political Parties,Conference for Progressive Political Action,"Turner, Glenn P."
Political Parties,Conference for Progressive Political Action,"Wheeler, B. K."
Political Parties,Farmer-Labor Party,"Christensen, Parley P."
Political Parties,Farmer-Labor Party,"Fine, Nathan"
Political Parties,Farmer-Labor Party,"Fuller, Paul W."
Political Parties,Farmer-Labor Party,"Hall, Covington"
Political Parties,Farmer-Labor Party,"Harmon, Ralph LeV."
Political Parties,Farmer-Labor Party,"Howe, Ben"
Political Parties,Farmer-Labor Party,"Johnson, Magnus"
Political Parties,Farmer-Labor Party,"Kennedy, John C."
Political Parties,Farmer-Labor Party,"Kvale, O. J."
Political Parties,Farmer-Labor Party,"Lefkowitz, Abraham,"
Political Parties,Farmer-Labor Party,"MacArthur, Neil"
Political Parties,Farmer-Labor Party,"Mahoney, William."
Political Parties,Farmer-Labor Party,"Mahoney, Wm. V."
Political Parties,Farmer-Labor Party,"Rempfer, William C."
Political Parties,Farmer-Labor Party,"Richmond, Dan W."
Political Parties,Farmer-Labor Party,"Shipstead, Henrik"
Political Parties,Farmer-Labor Party,"Teigan, Henry G."
Political Parties,Farmer-Labor Party,Umstadter. Philip.
Political Parties,Farmer-Labor Party,"Wefald, Knud,"
Political Parties,Jewish Socialist Labor Party (Poale Zion),"Fineman, Hayim"
Political Parties,Jewish Socialist Labor Party (Poale Zion),"Hamlin, Isaac"
Political Parties,Jewish Socialist Labor Party (Poale Zion),"Pinski, David"
Political Parties,Jewish Socialist Labor Party (Poale Zion),"Segal, Louis"
Political Parties,Socialist Labor Party,"Brandon, Joseph"
Political Parties,Socialist Labor Party,"Butterworth, John C."
Political Parties,Socialist Labor Party,"Cody, Michael P."
Political Parties,Socialist Labor Party,De Lee. Patrick E.
Political Parties,Socialist Labor Party,"Goerke, John D."
Political Parties,Socialist Labor Party,"Johns, Frank T."
Political Parties,Socialist Labor Party,"Johnson, Olive M."
Political Parties,Socialist Labor Party,"Knudsen, W. R."
Political Parties,Socialist Labor Party,"Kudlik, Alexander"
Political Parties,Socialist Labor Party,"La France, Ernest"
Political Parties,Socialist Labor Party,"Mills, Worden H."
Political Parties,Socialist Labor Party,"Passonno, Frank E."
Political Parties,Socialist Labor Party,"Petersen, Arnold"
Political Parties,Socialist Labor Party,"Saralieff, Stoyou S."
Political Parties,Socialist Labor Party,"Weinberger, Milton"
Political Parties,Socialist Party,"Barnes, J. Mahlon"
Political Parties,Socialist Party,Beardsley. Sam. E.
Political Parties,Socialist Party,"Berenberg, David P."
Political Parties,Socialist Party,"Berger, Victor L."
Political Parties,Socialist Party,"Berlyn, Bernard"
Political Parties,Socialist Party,"Berman, Morris,"
Political Parties,Socialist Party,"Bixler, Cora M."
Political Parties,Socialist Party,"Blatch, Harriot S."
Political Parties,Socialist Party,"Block. S. John,"
Political Parties,Socialist Party,"Blumberg, Benjamin."
Political Parties,Socialist Party,"Brandt, William M."
Political Parties,Socialist Party,"Buttis, Vittorio"
Political Parties,Socialist Party,Cannon. Joseph D.
Political Parties,Socialist Party,"Chanin, Nathan."
Political Parties,Socialist Party,"Claessens, August,"
Political Parties,Socialist Party,Coleman. William.
Political Parties,Socialist Party,"Collins, John M."
Political Parties,Socialist Party,"Crosswaith, F. R."
Political Parties,Socialist Party,"Crouch-Hazlett, I."
Political Parties,Socialist Party,"Day, Albert L."
Political Parties,Socialist Party,"Debs, Eugene V."
Political Parties,Socialist Party,"Duncan, Thomas M."
Political Parties,Socialist Party,"Edelman, Oscar K."
Political Parties,Socialist Party,"Edwards, George C."
Political Parties,Socialist Party,"Ervin, Charles W."
Political Parties,Socialist Party,Feigenbaum. Ben
Political Parties,Socialist Party,"Feigenbaum, W. M."
Political Parties,Socialist Party,"Friedman, Esther,"
Political Parties,Socialist Party,Fruchter. Henry I.
Political Parties,Socialist Party,"Garver, William L."
Political Parties,Socialist Party,"Gerber, Julius"
Political Parties,Socialist Party,"Germer, Adolph F."
Political Parties,Socialist Party,"Goebel, George H."
Political Parties,Socialist Party,Hall. Florence S.
Political Parties,Socialist Party,"Harkins, Leo M."
Political Parties,Socialist Party,"Harriman, Job"
Political Parties,Socialist Party,"Henry, Emma"
Political Parties,Socialist Party,"Herman, Emil"
Political Parties,Socialist Party,Hiatt. Edwin A.
Political Parties,Socialist Party,"Hillquit, Morris"
Political Parties,Socialist Party,"Hoan, Daniel W."
Political Parties,Socialist Party,"Hoehn, Gottlieb A."
Political Parties,Socialist Party,"Hoopes, Darlington"
Political Parties,Socialist Party,"Hughan, Jessie W."
Political Parties,Socialist Party,"Iglesias, Santiago"
Political Parties,Socialist Party,Kahn. Alexander
Political Parties,Socialist Party,"Karapetoff, Viadimir"
Political Parties,Socialist Party,"Karlin, William,"
Political Parties,Socialist Party,"Kennedy, Olin A."
Political Parties,Socialist Party,"King, Cameron H."
Political Parties,Socialist Party,"King, Murray E."
